subject,content
"""외인들 왜 다 팔았지?"" 깜짝…삼전·SK하이닉스 시총, 하루만에 71조 '증발'","14일 오후 서울 중구 하나은행 본점 딜링룸 전광판에 증시 종가가 표시되고 있다. 이날 코스피 지수는 전 거래일 대비 159.06p(3.81%) 떨어진 4011.57로 장을 마감했다. 뉴스1[서울경제] 코스피가 14일 4010선까지 밀렸다. 특히 삼성전자와 SK하이닉스가 급락하면서 두 종목 시가총액은 하루 만에 71조원 넘게 증발했다. 14일 한국거래소에 따르면 삼성전자는 5.45% 하락한 9만7200원, SK하이닉스는 8.50% 급락한 56만원에 거래를 마쳤다. 시가총액은 각각 전날 대비 33조1500억원, 37조8561억원 줄었다. 특히 외국인투자자의 매도세가 거셌다. 외국인은 이날 SK하이닉스를 1조2579억 원, 삼성전자를 5894억원어치 팔았다. SK하이닉스와 삼성전자는 외국인 순매도 1위, 2위에 나란히 이름을 올렸다.앞서 일본 반도체 기업 키옥시아가 시장 예상치(컨센서스)를 하회하는 실적을 발표하면서 인공지능(AI) 거품론이 고개를 들었다. 이 영향으로 삼성전자와 SK하이닉스, 마이크론 등 주요 반도체주도 일제히 하락했다. 이경민 대신증권 연구원은 ""간밤 미국발 AI 기술주의 하락 여파로 글로벌 증시가 일제히 하락한 가운데 국내 증시는 오후장 들어 전기·전자 업종을 중심으로 외국인의 매도세가 거셌다""고 분석했다.한편 반도체뿐만 아니라 최근 주가가 급등했던 주도주들도 조정을 받았다. 두산에너빌리티(-3.61%), SK스퀘어(-7.26%), 한국전력(-2.44%), HD현대일렉트릭(-4.50%), 효성중공업(-3.86%), HD현대(-3.76%), 삼성전기(-3.50%), 두산(-6.18%) 등 원전·전력기기·지주사 대표 종목들도 약세를 보였다."
'10만전자'·'60만닉스' 깨졌는데…달라진 개미들 뭐하나 보니 [종목+],"키옥시아發 쇼크에 '10만전자'·'60만닉스' 깨졌다…개미는 '줍줍'삼전·하이닉스 시총 하루 새 71조 증발개인은 2조4000억 담아·순매수 1·2위증권가 ""낸드 업황 확대 해석 지나쳐""""반도체 전례 없는 호황 사이클 진입""



/게티이미지뱅크국내 반도체 양대 산맥인 삼성전자와 SK하이닉스의 시가총액이 14일 하루 동안에만 71조원 넘게 증발했다. 시장 일각에서 인공지능(AI) 거품론이 제기되는 상황 속 세계 3위 낸드플래시 업체 키옥시아의 '어닝 쇼크'(실적 충격)로 반도체 업황 우려마저 불거지면서다. 다만 증권가에서는 키옥시아 실적에 대한 시장의 기대가 지나치게 과도했다고 판단하며 AI발 메모리 반도체의 구조적 성장 사이클은 이어질 것으로 전망한다.14일 한국거래소에 따르면 삼성전자는 이날 5.45% 내린 9만7200원에 거래를 마쳤다. 종가 기준으로 지난 7일 이후 5거래일 만에 재차 '9만전자'가 됐다. SK하이닉스도 8.5% 급락한 56만원으로 마감했다. 지난 11일 장중 기록한 최고가(64만6000원) 대비 3거래일 만에 13.31% 떨어졌다. 이날 이들의 합산 시총은 71조61억원 감소했다.



사진=한경DB이날 주가 급락의 빌미를 제공한 건 시장 기대를 충족하지 못한 키옥시아의 실적이었다. 전날 키옥시아는 장 마감 후 2025회계연도 2분기 매출이 4483억엔으로 1년 전 같은 기간보다 6.8% 감소했다고 신고했다. 같은 기간 순이익은 417억엔으로 62% 급감했다. 시장 전망치를 밑도는 실적을 발표한 여파로 키옥시아 주가는 23.03% 급락했다. 이재원 신한투자증권 연구원은 ""키옥시아가 시장 예상치를 밑도는 실적을 발표해 국내 반도체주가 하락했다""며 ""키옥시아 지분을 보유한 SK하이닉스의 상대적 낙폭이 더 컸다""고 분석했다.그럼에도 개인투자자들은 이들 종목의 주가 급락을 매수 기회로 삼는 모습을 보였다. 개인의 이날 순매수 상위 1·2위 종목은 나란히 삼성전자(1조5391억원)와 SK하이닉스(8867억원)가 차지했다.증권가에서는 키옥시아가 촉발한 낸드 업황 우려는 기우라고 판단했다. 서버뿐 아니라 모바일에서도 낸드 수요의 순증 효과가 확인되고 있다는 이유에서다. 류형근 대신증권 연구원은 ""시장 기대치를 밑돈 키옥시아의 실적과 차분기 가이던스(전망치)로 낸드 업황 우려가 제기됐다""며 ""하지만 시장의 기대감이 지나치게 높았을 수 있다는 반응이 나온다""고 말했다.그러면서 ""이번 실적에 대해 지나친 확대 해석은 지양할 필요가 있다""며 ""내년에 수요가 좋지 않은 저부가 제품 생산라인 철수와 절제된 설비투자(CAPEX) 기조가 나타날 것""이라고 덧붙였다.오히려 AI 메모리 반도체가 구조적 성장 사이클에 진입한 점을 주목할 필요가 있다는 진단이다. KB증권은 삼성전자와 SK하이닉스의 내년 합산 영업이익을 전년보다 89% 급증한 156조원으로 추정했다. 이들의 내년 영업이익 증가분은 74조원으로 코스피(107조원)의 69%를 차지할 것으로 전망된다.김동원 KB증권 리서치본부장은 ""반도체 사이클은 모바일 B2C(기업과 소비자 간 거래)와 AI 및 일반 서버 중심의 B2B(기업 간 거래) 수요가 동시에 증가해 과거에 경험하지 못했던 전례 없는 호황에 진입한 것으로 판단된다""며 ""반도체 업체들은 새로운 장기 성장 국면을 맞이할 것""이라고 강조했다.이 같은 상황 속 시장의 관심은 오는 20일 발표가 예정된 엔비디아의 실적으로 향하고 있다. 엔비디아 실적에 따라 밸류체인(가치사슬)으로 엮인 삼성전자와 SK하이닉스의 주가 향방도 결정될 것이란 전망이 나온다. 이재원 연구원은 ""엔비디아의 가이던스를 확인한 이후 AI 거품 논란이 완화될 가능성을 타진할 수 있을 것""이라고 말했다."
엔켐 “분기 매출액 3억원 이상” 정정… 정지됐던 거래 재개,"서울 여의도 한국거래소 전경./뉴스1        2차전지 핵심소재 전해액 전문기업 엔켐의 주권매매거래가 정지됐다가 다시 거래가 재개되는 일이 14일 발생했다.한국거래소 코스닥시장본부는 이날 오후 엔켐에 대해 상장적격성 실질심사 사유가 발생해 주권매매거래를 정지한다고 밝혔다. 거래소는 엔켐이 중국 다불다신소재 주식회사와 맺은 공급 계약의 취소로 인해 3분기 매출액이 3억원 미만으로 낮아져, 상장적격성 실질심사 사유가 발생했다고 설명했다.그러나 곧이어 거래소는 엔켐의 3분기 매출액이 3억원 이상임이 확인됐다며 주권매매거래 정지를 해제했다. 거래소는 “공시 및 외부감사인의 확인서 등을 통해 확인한 결과, 매출 차감 항목을 제외한 최근 분기 매출액이 3억원 이상에 해당함을 확인했다“고 했다."
"케이지에이, 실적 정정공시로 거래정지 사유 하루 만에 해소","3분기 매출액 3.5억으로 정정…상장 적격성 실질심사 사유 해소



17일 서울 영등포구 한국거래소에서 열린 케이지에이 코스닥시장 상장기념식에서 김대영 한국IR협의회 부회장(왼쪽부터), 이미현 한국거래소 코스닥시장본부장보, 김옥태 케이지에이 대표이사, 이충훈 삼성증권 부사장, 강왕락 코스닥협회 부회장이 기념 촬영을 하고 있다. (한국거래소 제공. 재판매 및 DB 금지) 2025.6.17/뉴스1(서울=뉴스1) 손엄지 기자 = 케이지에이(455180)가 실적 정정공시를 내면서 상장 적격성 실질심사 사유가 하루 만에 해소됐다.14일 한국거래소 코스닥시장본부는 ""케이지에이의 정정 분기보고서를 통해 3분기 매출액이 3억 원 이상임을 확인했다""며 상장 적격성 실질심사 사유에 해당하지 않아 관련 절차를 진행하지 않는다고 밝혔다.케이지에이는 이날 오후 2시 22분 3분기 매출이 2억 9580만 원을 기록했다고 공시하면서 거래가 정지됐다. 분기 매출액이 3억 원 이하일 경우 상장 적격성 실질심사 사유가 발생해서다.그러나 오후 7시 45분 케이지에이는 매출내역 검토결과 한 건이 누락돼 3분기 매출은 3억 4537만 원을 기록했다고 정정공시했다.전극공정 장비 기업 케이지에이는 삼성스팩9호와 합병을 통해 지난 6월 17일 주당 6150원에 거래를 시작했다.지난해 매출은 연결기준 약 514억 원을 기록하면서 창사 이래 최대 실적을 냈다. 영업이익은 전년 대비 376.16% 증가한 34억 원을 기록했다."
"‘잭팟’ 터트린 에이비엘바이오, 투자주의종목 지정","바이오일라이릴리와 기술이전 계약을 체결하며 주가가 3거래일간 78.7% 오른 에이비엘바이오가 투자주의종목으로 지정됐다. 이에 최근과 같은 급등세가 계속 이어질 경우 거래정지의 가능성까지 생겼다.14일 한국거래소 시장감시위원회는 에이비엘바이오 주가가 5일 전일의 종가보다 60% 이상 상승했으며 15일 전일의 종가보다 100% 이상 상승한 점을 감안해 투자경고종목 지정예고를 하며 투자주의종목으로 지정했다고 공시했다.에이비엘바이오는 오는 17일부터 10일 이내 단기급등이나 중장기급등에 해당하는 경우 투자경고종목으로 지정된다.단기급등사유는 판단일의 종가가 5일 전날의 종가보다 60% 이상 상승, 판단일 종가가 당일을 포함한 최근 15일 종가중 가장 높은 가격, 5일 전날을 기준으로 한 해당종목의 주가상승률이 같은 기간 종합주가지수 상승률의 5배 이상에 모두 해당되는 경우다.중장기급등 사유는 판단일 종가가 15일 전날의 종가보다 100% 이상 상승 , 판단일 종가가 당일을 포함한 최근 15일 종가중 가장 높은 가격, 15일 전날을 기준으로 한 해당종목의 주가상승률이 같은 기간 종합주가지수 상승률의 3배 이상인 경우다.주가가 일정기간 급등하는 등 투자유의가 필요한 종목은 투자주의종목 -> 투자경고종목 -> 투자위험종목“ 단계로 시장경보종목으로 지정되며, 투자경고·위험종목 단계에서 매매거래가 정지될 수 있다."
"짐 더 싣고, 휠체어 탄 채 탑승…자동차도 '고객 맞춤' 시대","【 앵커멘트 】  이젠 자동차도 맞춤 시대입니다.  필요에 따라 차체를 바꾸거나, 용도에 맞게 설계할 수 있는 '맞춤형 자동차'가 등장했습니다.  가전이나 IT 기기에서 시작된 개인화 트렌드가 이제 자동차로 확산하고 있습니다.  유승오 기자가 보도합니다.【 기자 】  기아의 목적 기반 자동차, PV5 전용 생산기지 'EVO 플랜트'가 경기 화성에 들어섰습니다.  사용 목적에 따라 설계된 PBV는 차체를 교체하거나 늘릴 수 있는 일종의 모듈형 완성차입니다.▶ 스탠딩 : 유승오 / 기자- ""업무용 차랑엔 수납 공간을 넓혀 더 많은 짐을 실을 수 있습니다. 교통약자용 차량엔 휠체어를 탄 채 탑승할 수 있는 공간도 마련됐습니다.""  2027년 가동을 목표로 대형 모델 전용 생산 라인도 구축해 PBV 전초 기지로 삼을 예정입니다.▶ 인터뷰 : 송호성 / 기아 사장- ""2030년까지 (PBV) 89만 대를 판매할 계획입니다. 이 가운데 73%를 해외 시장에 판매하여 총 32조 원의 수출액을 달성하고….""  올해 130만 대였던 글로벌 PBV 시장은 완성차 기업들이 잇따라 뛰어들면서 2030년 2천만 대 규모로 빠르게 성장할 것으로 보입니다.  자동차 업계가 PBV에 주목하는 이유는 비용 절감과 친환경성.   하나의 플랫폼에 차체만 바꿔 얹는 방식으로 생산 비용을 낮출 수 있고, 전체 경상용차 가운데 7%에 불과한 전기차 비중도 높일 수 있습니다.  고객 용도에 맞춰 차량을 빠르게 생산할 수 있다는 점도 큰 강점입니다.▶ 인터뷰 : 크리슈난 순다라라잔 / 플렉시스 COO- ""정말 혁신적입니다. 차체를 여러 형태로 바꿔 쓸 수 있습니다. 고객들이 원하는 방식에 더 폭넓게 대응할 수 있게 됩니다.""  완성차도 이제 맞춤형 시대, PBV가 글로벌 자동차 시장의 핵심 트렌드로 떠오르고 있습니다.  MBN뉴스 유승오 기자입니다.영상취재 : 구민회 기자·김민호 기자  영상편집 : 유수진  그 래 픽 : 박경희  화면출처 : Flexis·REEAutomotive·electricbrands-ag"
강남·한강벨트 조이자 옆 동네로…'옆세권'까지 덩달아 북적,"【 앵커멘트 】  혹시 옆세권이라고 들어보셨나요?  규제 지역에 맞닿아 있어 이를 피하려는 수요가 몰리는 걸 뜻합니다.  정부가 서울 전역을 삼중 규제로 묶는 초강력 대책을 내놓자 인근 지역 부동산이 덩달아 북적이고 있습니다.  이시열 기자입니다.【 기자 】  복정역 인근에 들어설 한 아파트의 모델하우스.  상담을 받는 사람들로 북적입니다.  이 아파트에 관심을 갖는 이유는 이른바 '옆세권' 아파트이기 때문입니다.  경기 성남시에 지어지지만, 강남과 위례신도시 바로 옆에 위치해 인프라를 같이 누릴 수 있는 장점이 있습니다.▶ 인터뷰 : 관람객- ""강남하고 위례신도시 사이에 있으니까 미래 가치로는 저는 충분한 기대를 가지고 지금 보는 중입니다.""  그런데도 공공택지라 상한제가 적용돼 분양가는 주변 위례신도시 아파트들보다 5억 원 가량 낮게 책정됐습니다.▶ 스탠딩 : 이시열 / 기자- ""제 우측에 보이는 곳이 위례신도시인데요. 바로 옆이 사실상 서울이라 관심도 높습니다.""  서울에 붙어 있는 다른 지역들도 상황은 비슷합니다.  강서구와 붙어 있는 경기 김포시는 전용84㎡ 매매가가 8억 원대까지 높아지면서 분양시장에서도 연일 최고 경쟁률을 경신하고 있고.  경기 구리와 동탄이 있는 화성시도 전주 대비 아파트값 상승률이 각각 0.33과 0.25%를 기록하며 상승세가 커지고 있습니다.  서울 등 주요 지역에 삼중 규제가 본격화됨에 따라 이 같은 '옆세권' 아파트 인기는 한동안 지속될 것이란 전망이 나옵니다.▶ 인터뷰(☎) : 남혁우 / 우리은행 부동산연구원- ""공급 부족 현상이 당분간 지속될 것으로 예상되는데요. 이로 인해 신축 아파트의 희소가치는 더욱 커질 것으로 예상됩니다.""  초강력 대책에도 상승세가 큰 폭으로 꺾이지 않자 정부는 긴급히 점검 회의를 열고 수도권 주택공급에 속도를 내겠다고 밝혔습니다  MBN뉴스 이시열입니다.   영상취재 : 변성중 기자  영상편집 : 김상진  그 래 픽 : 유영모·박민주"
유튜버 웃고 여행객 울고…환율 치솟자 '구두개입',"【 앵커멘트 】  최근　원·달러 환율이 1500원 근처까지 치솟으면서 희비가 크게 엇갈리고 있습니다.  미국 여행을 준비하는 사람들은 여행지를 바꿔야 하나 고민하고, 수익을 달러로 받는 유튜버들은 쏠쏠한 재미를 보고 있다고 합니다.  강서영 기자가 취재했습니다.【 기자 】  내년 초 미국 여행을 준비하는 40대 직장인 A씨.  올초만 해도 1300원대였던 환율이 1500원에 육박하자 여행지를 바꿀지 고민하고 있습니다.▶ 인터뷰 : A씨 / 직장인- ""미국은 팁 문화도 있고 환율도 이제 엄청 오르니까 가면은 진짜 돈이 많이 들겠구나. 일본 여행이나 뭐 다른 나라 갈 수도 있으니까.""  반대로 수익을 달러로 받는 유튜버와 외국계 기업 직장인은 고환율이 반갑습니다.  이렇다 보니 은행들은 최근엔 유튜버 전용 환율 우대 상품들을 내놓을 정도입니다.▶ 인터뷰 : 심효영 / KB국민은행 외환사업부 수석차장- ""유튜버 등 크리에이터 고객님을 대상으로 특화 서비스를…. 특히 9월 대비 10월 환율 등이 상승하면서 더 많은 고객님들이…. ""  환율 상승으로 지난달 수입 물가는 9개월 만에 가장 큰 폭인 1.9%가 오른 상황.  달러 매출이 많은 자동차 업종과 달리 철강처럼 원자재를 들여오는 산업은 울상입니다.▶ 인터뷰(☎) : 도원빈 / 한국무역협회 국제무역통상연구원- ""아무래도 수입 원자재 의존도 비중이 높은 기업들 중심으로 생산 원가가 올라갈 것 같고…""  환율이 1500원 코앞까지 치솟자 정부는 오늘 시장상황점검회의를 열고 환율 안정 대책을 예고하며 구두 개입에 나섰습니다.▶ 스탠딩 : 강서영 / 기자- ""구두개입 여파 때문인지 오늘 환율 주간 가격은 전날보다 10원 넘게 떨어진 1457원에 마감했습니다.""  금융시장이 불안하면서 코스피는 전날보다 3.81% 떨어진 4011에 마감해 가까스로 4천 선을 지켰습니다.　MBN뉴스 강서영입니다.영상취재 : 김회종 기자·윤현진VJ·이호준VJ  영상편집 : 김미현  그래픽 : 박경희"
"720조 슈퍼예산안, 재정 확장 '글쎄'…""본예산·추경 모두 봐야""","[와우퀵] 투자정보 플랫폼문홍철 DB증권 자산전략팀장은 14일 한국경제TV에 출연해 ""내년 예산이 720조원을 넘는 슈퍼 예산안이라고 하지만, 단순히 올해와 내년 본예산만 비교해 재정이 크게 확대됐다고 보는 것은 무리가 있다""고 말했다. 이어 ""재정은 본예산과 추경을 합한 최종 규모가 중요하다""며 ""올해 두 차례 추경으로 예산이 크게 불어난 만큼, 추경을 포함한 올해 예산과 내년 본예산을 비교하면 증가 폭이 과장돼 보이지 않는다""고 설명했다.문 팀장은 ""올해 추경 이후 총지출과 내년 본예산을 함께 놓고 봐야 한다""며 ""올해 추경이 워낙 대규모였기 때문에 내년 본예산만 놓고는 재정이 매우 확장적이라고 보기는 어렵다""고 진단했다.그러면서 ""물론 내년에도 추가경정예산을 편성하면 그때는 실제 재정이 더 확대된 것으로 볼 수 있다""면서도 ""현재 공개된 본예산 기준만으로 재정이 심각하게 풀렸다거나 대폭 확장됐다고 단정하는 것은 적절치 않다""고 지적했다.문 팀장은 ""핵심 포인트는 내년 본예산 숫자만 보지 말고, 올해 추경을 거친 예산과 내년 본예산, 그리고 향후 추경 가능성까지 함께 감안해 재정 스탠스를 판단해야 한다는 것""이라고 덧붙였다.● 핵심 포인트- 내년 720조원대 슈퍼 예산안을 두고, 올해·내년 본예산만 비교해 재정 확대를 판단하는 건 무리라고 지적함.- 본예산과 추경을 합한 최종 규모로 확인 필요, 올해 두 차례 추경 감안하면 내년 본예산 증가 폭은 과장돼 보이지 않음.- 내년 추경 편성 여부에 따라 실제 재정 확대 여부가 갈릴 수 있고, 본예산 숫자만으로 ‘대폭 확장’ 단정 어려움.



● 방송 원문<앵커>오는 27일에 한국은행 금통위가 개최되고요.  수정 경제 전망이 어떻게 나올지가 궁금해지고 또 우리가 예산안을 들여다보면 내년 720조가 넘는 슈퍼예산안이 공개됐습니다. 워낙에 큰 폭의 예산 확대여서 경제에 어떤 영향을 미칠지도 궁금해지거든요.<문홍철 DB증권 자산전략팀장>제가 또 재정과 관련해서 다른 소리 좀 하겠습니다. 재정과 관련돼서는 객관적인 뉴스로 보기가 쉽지 않은데 그 이유는 워낙 재정이 모두의 관심사 그리고 정치적 리스크가 되기 때문에 그런 거고요. 제가 드릴 말씀은 이런 겁니다. 아마 뉴스에 보시면 올해 재정 작년보다 몇 퍼센트 늘었다, 이 숫자가 있는데 이 숫자를 너무 믿으시면 안 돼요.  왜냐하면 재정이라는 게 본예산이 있고 추경한 후 예산이 있고 지금 발표한 건 본예산 기준이거든요. 그러면 작년 본예산과 올해 본예산을 많이 비교하시는데 사실 더 정확하게 하려면 추경을 이미 두 번이나 했지 않습니까. 올해 그래서 추경을 포함했던 예산과 내년도 본예산을 계산하면 그렇게 크게 증가하는 거 아닙니다. 물론 내년에 추경을 또 하겠죠. 그렇게 본다면 또 예산이 많이 증가하는 것처럼 보일 수도 있고 제가 오늘 말씀드릴 건 예산이 심각하다 혹은 아니다, 이렇게 말씀드리는 게 아니라 숫자를 보실 때 이 정도의 숫자로 이렇게 크게 증가한다고라고 보실 게 아니라 본예산 그리고 추경 후 대비를 비교할 때 사람들도 헷갈려 하세요. 다만 올해 추경을 상당히 대규모로 했기 때문에 추경 규모 대비해서 내년 본 예산은 그렇게 확장적이라고 보기는 조금 어렵고 확장적이려면 내년에 추경을 또 하면 돼요. 그러면 그때 가서 확장적이라고 하면 제가 뭐라고 안 하겠습니다. 그때는 확정적이고 다만 지금 나온 본예산만 봐서는 아직은 잘 늘어나긴 했어요. 근데 막 그렇게 막 대폭적이라고 보기는 어렵다, 그렇게 생각합니다."
"꼭꼭 숨겨도 잡아낸다 'K-탐지견'…""마약도 폭발물도 잘 찾아요""","【 앵커멘트 】  국내로 들어오는 마약을 잡아내는 1등 공신, 바로 탐지견들이죠.  한 번에 마약이 담긴 캐리어를 찾아내는데, 이를 위해서는 꾸준한 훈련과 교관과의 교감이 중요하다고 합니다.  최고의 마약 탐지견으로 무럭무럭 커가는 견공들을 이승훈 기자가 카메라에 담아 왔습니다.【 기자 】  적막이 흐르는 경기장 안.  신호가 떨어지자 보더콜리가 전광석화 같은 움직임으로 장애물을 넘어 결승선에 도달합니다.  스코틀랜드에서 순록을 지키던 견종으로, 지능이 높고 끈기가 있으며 주인에게 순종하는 기질을 갖고 있습니다.  엉뚱한 길로 빠지고 우당탕탕 장애물을 넘어뜨리는 또 다른 견종 리트리버.  이따금 낯선 환경에 겁먹은 강아지들이 레이스를 거부하자 가차없이 실격이 날아옵니다.(현장음)- ""거부 둘, 실격입니다!""  인천국제공항이 있는 영종도에서 마약탐지견 경진대회가 열렸는데, 백미는 개와 사람이 한팀이 되어 장애물을 뛰어넘는 종목입니다.  능숙한 조교견의 마약탐지 시범도 이어졌는데, 단박에 한 캐리어 앞으로 다가가 신호를 보냅니다.  아니나 다를까 책 사이에서 마약이 나왔습니다.  경찰과 군 등이 참가하는 기관부 대회에서 우승을 차지한 팬텀이라는 탐지견입니다.▶ 스탠딩 : 이승훈 / 기자- ""인천공항세관 소속 팬텀입니다. 여행자가 아무리 마약을 은닉해도 끝까지 냄새를 맡아 찾아냅니다.""▶ 인터뷰 : 이명구 / 관세청장- ""여러 다양한 기관들 간의 선의 경쟁도 펼치고 학생들한테는 탐지견 핸들러로서 꿈도 키우는….""  관세청은 앞으로도 탐지견의 마약 탐지 분야를 늘려나가 국내 마약 적발량 증가에 대응한다는 계획입니다.  MBN뉴스 이승훈입니다.영상취재 : 백성운 VJ  영상편집 : 오광환  그래픽 : 유영모"
